Username,Like_Count,Created_At,Comment
atiqa.yasmeen,0,2024-11-05 05:27:20,Toba
afroj_07_sgp,0,2024-11-05 04:06:46,😡😡😡🥲🥲🥲
arshad_malik_109,0,2024-11-05 03:31:09,Srk aap si ye Omid nhi thi😡
firoz_rs_lovely_malik,0,2024-11-05 02:36:55,ये शाहरुख खान की गलत बात है 😡😡
fatest243,0,2024-11-04 23:18:52,देखो मुसलमानों तुम्हारा शाहरुख़ हीन्दू धर्म कबूल कर लिया
zaboonisha_kara,0,2024-11-04 22:37:40,Astaghfirullah Astaghfirullah Astaghfirullah what’s going to happen on the day if judgement
ll._khwr_.ll,0,2024-11-04 21:39:57,Apse bohut mohabbat krty han par ye bharwagiri mat kiya kren plz dukh hota ha 🥰🫶
miriarbus,0,2024-11-04 21:35:09,❤️❤️🙏
jason_roy___,0,2024-11-04 19:06:36,😂😂😂 Mirzi laga pap
its_aditya_9060,0,2024-11-04 18:25:27,Jai shree Ram 🙏🙏🙏
abdulrab9144,0,2024-11-04 17:58:02,😂😂😂😂
selvikrasnic,0,2024-11-04 17:55:28,🙏🔥❤️🕉️🙏🔥❤️🕉️🙏🔥❤️🕉️🙏🔥
lpj8827,0,2024-11-04 17:45:31,😂😂😂😂
lpj8827,0,2024-11-04 17:45:29,😂😂😂😂
snehagupta2920,0,2024-11-04 17:23:57,Comments main bht logo ki jal gyi hai acchi chiz Dhekn
amirhusain623,2,2024-11-04 17:20:31,Astagfirullah
rimysachdev,0,2024-11-04 16:27:00,🙏
beingtufailsofi4,0,2024-11-04 16:19:00,Sin
nazianavved360,64,2024-11-04 15:40:56,Astagfirulllah 😢
efennina,0,2024-11-04 15:36:25,😂😂😂😂. mknya AQ lebih suka Salman Khan daripada si kuncir ini😂😂😂😂
indian_44412,0,2024-11-04 15:25:07,Hindustan😍😍🕉️
shivayadavsp011,0,2024-11-04 15:19:45,यही मानवता है जो हिंदू मुस्लिम में अटका है आज भी जमीन में ही है बड़े लोग कभी धर्म जाति नही देखते
anjali_nita,0,2024-11-04 14:59:13,🙏🕉️🕉️🙏
nitikasingh575,0,2024-11-04 14:01:08,😍😍😍😍😍😍😍
rukki.shai,0,2024-11-04 13:38:31,Ye asli hindo hai
official_roshan___88,0,2024-11-04 13:04:03,Jab Paisa nahi tha srk ke pass to khowaaja garib Nawaz ke dargah mein gaya tha aur ab Paisa aa gaya to bhul gaya allah Hu Akbar 🤲🤲🤲
ukhanom4,0,2024-11-03 19:34:39,Astagfirullah Allah guide this man Ameen he is Muslim and he worshiping idol 😱!
lovingzen818,0,2024-11-03 18:49:48,Dogle tanataniyo ki tarha dogle muslims bhi hai
nakibbb.___,12,2024-11-03 18:28:51,Astagfirullah😡
nourej__alam786,0,2024-11-03 18:07:54,Astagfirullah
saahir.ubaid,0,2024-11-03 17:55:10,😂😂😂😂
rgaurishankarrajput,0,2024-11-03 17:38:29,Oregonal saty 🕉️hi hai baki sab jadu tona
mohammad_izhar__official,0,2024-11-03 17:34:11,Narak me jaiga
md.shuaib_1,0,2024-11-03 17:24:10,"this is shirk. whoever worship besides of Allah s.w.t, He is not muslim akhi. plz understand."
horse.997492,0,2024-11-03 17:03:53,😡😡😡😡
imaxx.ae1,0,2024-11-03 16:59:09,The reason why the people love SRK 🙏❤️
_ariz_0002,0,2024-11-03 16:38:13,😂😂😂😂😂😂
notty_rohit_ii,0,2024-11-03 16:09:30,King of 142cr Indians heart ❤
mr._haseemmodi07,2,2024-11-03 16:02:20,Astagfirullah 😡😡😡
itx_usman_x02,6,2024-11-03 15:59:49,Astagfirullah 😡
faisalayan177,1,2024-11-03 15:47:01,Only respect all religions not to practice every religion😡
laxmanrana6442,0,2024-11-03 15:36:45,🙏🙏🙏🙏🙏🙏🙏❤️❤️❤️❤️
a_dvys,0,2024-11-03 15:22:42,अगस्त फिरगुला । रस्सा रसगुल्ला
nese.kibar.98,0,2024-11-03 15:14:31,Müslüman değilmi
tabrej_ansari_785898,0,2024-11-03 14:44:56,Lahul Billa kuwata astagfirullah 😡
kumar__krishap_001,0,2024-11-03 14:08:28,Sharukh Khan ❌ Shree Radha Krishna ✅
jeet_paliwal__,0,2024-11-03 14:00:00,Molvi fatva to jari nahi karege
junaid_official05,2,2024-11-03 13:50:22,Marne ke bd Allah Jane Kiya hoga kyu ki yeh do naau me betha h...
_koushik_bora_k,0,2024-11-03 13:41:25,Real Indian 🙏
_koushik_bora_k,0,2024-11-03 13:40:55,🔥🔥🔥
unityumm,0,2024-11-03 13:36:05,WHAT A SHAME
xr_raghav_,0,2024-11-03 13:28:22,Aapne to dheka diya jis time me ram mandir ban Raha tha ayodhya me tab a loge kaha the
parvez5474khan,0,2024-11-03 13:03:42,Shahrukh Khan Hindu hai
5414.lala,0,2024-11-03 13:00:39,Astagfirullah
narsin_amin,0,2024-11-03 12:11:51,Ki Obosta Allah hakbor 🔥
imaimato,0,2024-11-03 12:03:36,What is your religion???
kaif_kk79,0,2024-11-03 11:47:20,Nasedi SRK 😡
neil1_974,0,2024-11-03 11:22:25,🙏🙏
kaifkhan0_0,0,2024-11-03 11:11:52,srk ne check kiya dabbe me kiya he😁😁
indian_marvelites,0,2024-11-03 10:57:51,Pure Hindustani❤️
haris_k26,0,2024-11-03 10:49:00,Just for wife
harshvardhan.1994,0,2024-11-03 10:31:19,kal hi fatwa niklega ..converted mullao ka. Kyuki asli musalman jisne quran pda h usko esse farak nahi padta😂
mr.___.sahil._.07,0,2024-11-03 10:24:02,Astagfirullah 😡
itz_n4ndu,8,2024-11-03 10:15:54,Respect All Religions... 🙌🏻🙏🏻
mr_ajijul_45,0,2024-11-03 10:13:54,Shame on you
its____ruby__shaikh,0,2024-11-03 10:09:51,Astaghfirullah
sujoy_saha19,4,2024-11-03 09:58:22,☪️Muslims in comments 🤮🤮🤮
rahulsonydhp,0,2024-11-03 09:40:58,महा मादरचोद लन्ड भक्तों की गांड़ पर तमाचा मारा है शाहरुख खान ने😂😂😂😂😂🔥🔥🙏🙏🙏
jintu642,0,2024-11-26 17:17:31,❤️❤️❤️
justuser200,0,2024-11-26 15:20:19,Bhagwan Sabko Acchi Sehat Aur Acchi Jindgi De🙏Ganoati Bappa Morya🙏😍
vikashsharma8566,0,2024-11-26 08:19:13,❤️🙏
c_and_ra,0,2024-11-26 01:14:26,Muslim ga jelas
am_an1_2233,0,2024-11-25 20:22:39,❤️❤️
ayyaanzz,0,2024-11-25 16:56:41,Sukh karta ❌ shirk karta ✅
z.lkhryj,0,2024-11-25 07:40:26,ما فهمنا ڨاع وشمن ذينا ينتمي إليها مسلم ولا هندوسي
raziqhavlogs,0,2024-11-25 06:17:10,"We respect other religions, but we don’t practise it."
vasanthkumar3113,0,2024-11-24 16:36:51,😂 Haaree... Raamm....kyaa dekha maineee.....😎😂??????
vasanthkumar3113,0,2024-11-24 16:28:53,😂...... Turkaaa.... Bangladeshi....😂
rosidulhoque74,0,2024-11-24 16:00:58,😡😡😡😡😡
thekesharnirola,0,2024-11-24 10:41:16,❤️❤️
kariimass,0,2024-11-24 09:12:32,What is this?! Asterghfer allah
arabia3783,0,2024-11-24 07:44:15,"Koi baat nahi, ye to aakhirat me pata chalega."
asral_shah.03,0,2024-11-24 06:45:32,Astagfirullah 😡
faridul3754,0,2024-11-24 03:00:02,😡😡😡😡😡😡😡😡😡😡😡😡🤮🤮🤮🤮🤮🤮🤮🤮🤮😡😡😡😡
ramizulfauzan88,0,2024-11-23 23:24:36,Kapir doh dia ni
_aryannazir04,0,2024-11-23 21:40:11,Astagfirullah
ram.raj8558,1,2024-11-23 17:28:42,Allah Randii Baazz😁😁😁😁🤣🤣
rabia.ammar.758,0,2024-11-23 17:22:04,Bu nasıl müslüman 😡😡😡
lovelyjunegirl,0,2024-11-23 14:16:45,Play safe 😄😄
x_emarat,0,2024-11-23 13:20:47,استغفر مسلم وزوجته هندوسية وعياله مادري ف اي ديانة ليل نهار سكارى 😂😂
kumar_aman_21,0,2024-11-23 12:25:55,Jali re jali ktwo ki gaand jali
ahamkautsar,0,2024-11-23 09:46:10,Gak kaget
